,symbol,close,open,high,low,volume,adjclose
2000-01-03,^GSPC,1455.219970703125,1469.25,1478.0,1438.3599853515625,931800000.0,1455.219970703125
2000-01-04,^GSPC,1399.4200439453125,1455.219970703125,1455.219970703125,1397.4300537109375,1009000000.0,1399.4200439453125
2000-01-05,^GSPC,1402.1099853515625,1399.4200439453125,1413.27001953125,1377.6800537109375,1085500000.0,1402.1099853515625
2000-01-06,^GSPC,1403.449951171875,1402.1099853515625,1411.9000244140625,1392.0999755859375,1092300000.0,1403.449951171875
2000-01-07,^GSPC,1441.469970703125,1403.449951171875,1441.469970703125,1400.72998046875,1225200000.0,1441.469970703125
2000-01-10,^GSPC,1457.5999755859375,1441.469970703125,1464.3599853515625,1441.469970703125,1064800000.0,1457.5999755859375
2000-01-11,^GSPC,1438.56005859375,1457.5999755859375,1458.6600341796875,1434.4200439453125,1014000000.0,1438.56005859375
2000-01-12,^GSPC,1432.25,1438.56005859375,1442.5999755859375,1427.0799560546875,974600000.0,1432.25
2000-01-13,^GSPC,1449.6800537109375,1432.25,1454.199951171875,1432.25,1030400000.0,1449.6800537109375
2000-01-14,^GSPC,1465.1500244140625,1449.6800537109375,1473.0,1449.6800537109375,1085900000.0,1465.1500244140625
2000-01-17,,1460.14501953125,,,,,
2000-01-18,^GSPC,1455.1400146484375,1465.1500244140625,1465.1500244140625,1451.300048828125,1056700000.0,1455.1400146484375
2000-01-19,^GSPC,1455.9000244140625,1455.1400146484375,1461.3900146484375,1448.6800537109375,1087800000.0,1455.9000244140625
2000-01-20,^GSPC,1445.5699462890625,1455.9000244140625,1465.7099609375,1438.5400390625,1100700000.0,1445.5699462890625
2000-01-21,^GSPC,1441.3599853515625,1445.5699462890625,1453.1800537109375,1439.5999755859375,1209800000.0,1441.3599853515625
2000-01-24,^GSPC,1401.530029296875,1441.3599853515625,1454.0899658203125,1395.4200439453125,1115800000.0,1401.530029296875
2000-01-25,^GSPC,1410.030029296875,1401.530029296875,1414.260009765625,1388.489990234375,1073700000.0,1410.030029296875
